,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-05-12 19:00:00,75.3682636801262,74.93985772926864,76.649712268066,75.3682636801262,75.3682636801262,0.42390304728622247,0.42390304728622247,0.42390304728622247,0.42390304728622247,0.42390304728622247,0.42390304728622247,0.0,0.0,0.0,75.79216672741242
1,2019-05-12 20:00:00,75.33811495658003,74.8953092329444,76.62276748310401,75.33811495658003,75.33811495658003,0.43725132079527235,0.43725132079527235,0.43725132079527235,0.43725132079527235,0.43725132079527235,0.43725132079527235,0.0,0.0,0.0,75.7753662773753
2,2019-05-12 21:00:00,75.30796623303384,74.89079142481539,76.54938135897493,75.30796623303384,75.30796623303384,0.44374566989017056,0.44374566989017056,0.44374566989017056,0.44374566989017056,0.44374566989017056,0.44374566989017056,0.0,0.0,0.0,75.75171190292401
3,2019-05-12 22:00:00,75.27781750948766,74.91530072980268,76.58155551991845,75.27781750948766,75.27781750948766,0.4765441157326467,0.4765441157326467,0.4765441157326467,0.4765441157326467,0.4765441157326467,0.4765441157326467,0.0,0.0,0.0,75.75436162522031
4,2019-05-12 23:00:00,75.24766878594147,74.86037040330658,76.58765129706073,75.24766878594147,75.24766878594147,0.4954969913200451,0.4954969913200451,0.4954969913200451,0.4954969913200451,0.4954969913200451,0.4954969913200451,0.0,0.0,0.0,75.74316577726151
5,2019-05-13 00:00:00,75.2175200623953,74.81167720939278,76.5023768963477,75.2175200623953,75.2175200623953,0.4362212072921018,0.4362212072921018,0.4362212072921018,0.4362212072921018,0.4362212072921018,0.4362212072921018,0.0,0.0,0.0,75.6537412696874
6,2019-05-13 01:00:00,75.18737133884912,74.6947179804534,76.34203107050658,75.18737133884912,75.18737133884912,0.288138380639366,0.288138380639366,0.288138380639366,0.288138380639366,0.288138380639366,0.288138380639366,0.0,0.0,0.0,75.47550971948849
7,2019-05-13 02:00:00,75.15722261530294,74.40153874690323,76.15795820759693,75.15722261530294,75.15722261530294,0.11773873706209553,0.11773873706209553,0.11773873706209553,0.11773873706209553,0.11773873706209553,0.11773873706209553,0.0,0.0,0.0,75.27496135236504
8,2019-05-13 03:00:00,75.12707389175677,74.22501706054581,75.92369467699821,75.12707389175677,75.12707389175677,0.009791952905017302,0.009791952905017302,0.009791952905017302,0.009791952905017302,0.009791952905017302,0.009791952905017302,0.0,0.0,0.0,75.13686584466178
9,2019-05-13 04:00:00,75.09692516821059,74.21647082912861,75.93690195898029,75.09692516821059,75.09692516821059,-0.015316485965440338,-0.015316485965440338,-0.015316485965440338,-0.015316485965440338,-0.015316485965440338,-0.015316485965440338,0.0,0.0,0.0,75.08160868224515
10,2019-05-13 05:00:00,75.0637568269078,74.18612620728408,75.94311608034548,75.0637568269078,75.0637568269078,-0.02288716757239235,-0.02288716757239235,-0.02288716757239235,-0.02288716757239235,-0.02288716757239235,-0.02288716757239235,0.0,0.0,0.0,75.04086965933541
11,2019-05-13 06:00:00,75.03058848560502,74.10334306528397,75.72976532752051,75.03058848560502,75.03058848560502,-0.09869799726994403,-0.09869799726994403,-0.09869799726994403,-0.09869799726994403,-0.09869799726994403,-0.09869799726994403,0.0,0.0,0.0,74.93189048833509
12,2019-05-13 07:00:00,74.99742014430224,73.83831210003027,75.61515747571602,74.99742014430224,74.99742014430224,-0.2597848806868002,-0.2597848806868002,-0.2597848806868002,-0.2597848806868002,-0.2597848806868002,-0.2597848806868002,0.0,0.0,0.0,74.73763526361545
13,2019-05-13 08:00:00,74.96425180299946,73.76177372655212,75.43474949795834,74.96425180299946,74.96425180299946,-0.4303710644656917,-0.4303710644656917,-0.4303710644656917,-0.4303710644656917,-0.4303710644656917,-0.4303710644656917,0.0,0.0,0.0,74.53388073853377
14,2019-05-13 09:00:00,74.93108346169669,73.59064205720713,75.32122107447049,74.93108346169669,74.93108346169669,-0.5094015535931312,-0.5094015535931312,-0.5094015535931312,-0.5094015535931312,-0.5094015535931312,-0.5094015535931312,0.0,0.0,0.0,74.42168190810355
15,2019-05-13 10:00:00,74.8979151203939,73.56756362865423,75.24276206208997,74.8979151203939,74.8979151203939,-0.46530073305879505,-0.46530073305879505,-0.46530073305879505,-0.46530073305879505,-0.46530073305879505,-0.46530073305879505,0.0,0.0,0.0,74.43261438733511
16,2019-05-13 11:00:00,74.86474677909113,73.58405794015519,75.28881596453243,74.86474677909113,74.86474677909113,-0.36506936157780934,-0.36506936157780934,-0.36506936157780934,-0.36506936157780934,-0.36506936157780934,-0.36506936157780934,0.0,0.0,0.0,74.49967741751333
17,2019-05-13 12:00:00,74.83157843778835,73.63565060980235,75.34630225308264,74.83157843778835,74.83157843778835,-0.30810263791895864,-0.30810263791895864,-0.30810263791895864,-0.30810263791895864,-0.30810263791895864,-0.30810263791895864,0.0,0.0,0.0,74.52347579986939
18,2019-05-13 13:00:00,74.79841009648557,73.64220363457761,75.30523676723523,74.79841009648557,74.79841009648557,-0.3285011042232772,-0.3285011042232772,-0.3285011042232772,-0.3285011042232772,-0.3285011042232772,-0.3285011042232772,0.0,0.0,0.0,74.46990899226229
19,2019-05-13 14:00:00,74.76524174968239,73.55781071612374,75.24056684648755,74.76524174968239,74.76524174968239,-0.3610652303985763,-0.3610652303985763,-0.3610652303985763,-0.3610652303985763,-0.3610652303985763,-0.3610652303985763,0.0,0.0,0.0,74.40417651928381
20,2019-05-13 15:00:00,74.73207340287921,73.57361558986103,75.29253902293043,74.73207340287921,74.73207340287921,-0.30433774925129226,-0.30433774925129226,-0.30433774925129226,-0.30433774925129226,-0.30433774925129226,-0.30433774925129226,0.0,0.0,0.0,74.42773565362792
21,2019-05-13 16:00:00,74.69890505607603,73.69705719024256,75.45473297893193,74.69890505607603,74.69890505607603,-0.1196823397277191,-0.1196823397277191,-0.1196823397277191,-0.1196823397277191,-0.1196823397277191,-0.1196823397277191,0.0,0.0,0.0,74.57922271634831
22,2019-05-13 17:00:00,74.66573670927284,73.93560444285448,75.68791634100337,74.66573670927284,74.66573670927284,0.12890577485083365,0.12890577485083365,0.12890577485083365,0.12890577485083365,0.12890577485083365,0.12890577485083365,0.0,0.0,0.0,74.79464248412367
23,2019-05-13 18:00:00,74.63256836246966,74.0925314000384,75.85206439367393,74.63256836246966,74.63256836246966,0.33078110794935994,0.33078110794935994,0.33078110794935994,0.33078110794935994,0.33078110794935994,0.33078110794935994,0.0,0.0,0.0,74.96334947041902
24,2019-05-13 19:00:00,74.59940001566646,74.20669198357062,75.90734137328646,74.59940001566646,74.59940001566646,0.42390304728637285,0.42390304728637285,0.42390304728637285,0.42390304728637285,0.42390304728637285,0.42390304728637285,0.0,0.0,0.0,75.02330306295283
25,2019-05-13 20:00:00,74.5662316688633,74.15396871176927,75.84804073777414,74.5662316688633,74.5662316688633,0.4372513207950048,0.4372513207950048,0.4372513207950048,0.4372513207950048,0.4372513207950048,0.4372513207950048,0.0,0.0,0.0,75.0034829896583
26,2019-05-13 21:00:00,74.5330633220601,74.12015240759396,75.80874817747673,74.5330633220601,74.5330633220601,0.44374566989150727,0.44374566989150727,0.44374566989150727,0.44374566989150727,0.44374566989150727,0.44374566989150727,0.0,0.0,0.0,74.97680899195161
27,2019-05-13 22:00:00,74.49989497525692,74.07589328695227,75.77486922998008,74.49989497525692,74.49989497525692,0.47654411573491623,0.47654411573491623,0.47654411573491623,0.47654411573491623,0.47654411573491623,0.47654411573491623,0.0,0.0,0.0,74.97643909099183
28,2019-05-13 23:00:00,74.46672663061057,74.0568249743302,75.75352918745142,74.46672663061057,74.46672663061057,0.4954969913194048,0.4954969913194048,0.4954969913194048,0.4954969913194048,0.4954969913194048,0.4954969913194048,0.0,0.0,0.0,74.96222362192997
29,2019-05-14 00:00:00,74.4335582859642,74.01351443150615,75.75607423049098,74.4335582859642,74.4335582859642,0.4362212072902294,0.4362212072902294,0.4362212072902294,0.4362212072902294,0.4362212072902294,0.4362212072902294,0.0,0.0,0.0,74.86977949325443
30,2019-05-14 01:00:00,74.40038994131783,73.91482264699195,75.56867594786814,74.40038994131783,74.40038994131783,0.28813838063682773,0.28813838063682773,0.28813838063682773,0.28813838063682773,0.28813838063682773,0.28813838063682773,0.0,0.0,0.0,74.68852832195465
31,2019-05-14 02:00:00,74.36722159667147,73.643540700435,75.33066816275408,74.36722159667147,74.36722159667147,0.11773873705797332,0.11773873705797332,0.11773873705797332,0.11773873705797332,0.11773873705797332,0.11773873705797332,0.0,0.0,0.0,74.48496033372945
32,2019-05-14 03:00:00,74.3340532520251,73.4930376611654,75.25311042114038,74.3340532520251,74.3340532520251,0.009791952902657212,0.009791952902657212,0.009791952902657212,0.009791952902657212,0.009791952902657212,0.009791952902657212,0.0,0.0,0.0,74.34384520492776
33,2019-05-14 04:00:00,74.30088490737874,73.434112808414,75.15568657812554,74.30088490737874,74.30088490737874,-0.015316485965692394,-0.015316485965692394,-0.015316485965692394,-0.015316485965692394,-0.015316485965692394,-0.015316485965692394,0.0,0.0,0.0,74.28556842141305
34,2019-05-14 05:00:00,74.26771656273237,73.4221604214322,75.10059679392494,74.26771656273237,74.26771656273237,-0.02288716757189776,-0.02288716757189776,-0.02288716757189776,-0.02288716757189776,-0.02288716757189776,-0.02288716757189776,0.0,0.0,0.0,74.24482939516048
35,2019-05-14 06:00:00,74.23454821808602,73.27941213682752,75.0048276056458,74.23454821808602,74.23454821808602,-0.09869799727253607,-0.09869799727253607,-0.09869799727253607,-0.09869799727253607,-0.09869799727253607,-0.09869799727253607,0.0,0.0,0.0,74.13585022081348
36,2019-05-14 07:00:00,74.20137987343965,73.07815128751041,74.75076862357707,74.20137987343965,74.20137987343965,-0.25978488069026934,-0.25978488069026934,-0.25978488069026934,-0.25978488069026934,-0.25978488069026934,-0.25978488069026934,0.0,0.0,0.0,73.94159499274937
37,2019-05-14 08:00:00,74.20934658652298,72.91926459116266,74.62923983571446,74.20934658652298,74.20934658652298,-0.43037106446804696,-0.43037106446804696,-0.43037106446804696,-0.43037106446804696,-0.43037106446804696,-0.43037106446804696,0.0,0.0,0.0,73.77897552205494
38,2019-05-14 09:00:00,74.2173132996063,72.87612615501983,74.55326324579178,74.2173132996063,74.2173132996063,-0.5094015535930239,-0.5094015535930239,-0.5094015535930239,-0.5094015535930239,-0.5094015535930239,-0.5094015535930239,0.0,0.0,0.0,73.70791174601328
39,2019-05-14 10:00:00,74.22528001268964,72.92042163087658,74.56904356556329,74.22528001268964,74.22528001268964,-0.46530073305898223,-0.46530073305898223,-0.46530073305898223,-0.46530073305898223,-0.46530073305898223,-0.46530073305898223,0.0,0.0,0.0,73.75997927963066
40,2019-05-14 11:00:00,74.23324672577297,73.06825081663193,74.77751122036378,74.23324672577297,74.23324672577297,-0.3650693615814323,-0.3650693615814323,-0.3650693615814323,-0.3650693615814323,-0.3650693615814323,-0.3650693615814323,0.0,0.0,0.0,73.86817736419154
41,2019-05-14 12:00:00,74.2412134388563,72.99852777972629,74.79691604837411,74.2412134388563,74.2412134388563,-0.30810263791895515,-0.30810263791895515,-0.30810263791895515,-0.30810263791895515,-0.30810263791895515,-0.30810263791895515,0.0,0.0,0.0,73.93311080093736
42,2019-05-14 13:00:00,74.24918015193963,73.05955229178262,74.71895808203088,74.24918015193964,74.24918015193964,-0.328501104224329,-0.328501104224329,-0.328501104224329,-0.328501104224329,-0.328501104224329,-0.328501104224329,0.0,0.0,0.0,73.9206790477153
43,2019-05-14 14:00:00,74.25714686502296,73.09814238647984,74.78149874126774,74.25714686502296,74.25714686502296,-0.36106523040068667,-0.36106523040068667,-0.36106523040068667,-0.36106523040068667,-0.36106523040068667,-0.36106523040068667,0.0,0.0,0.0,73.89608163462228
44,2019-05-14 15:00:00,74.26511357810628,73.07408348060754,74.83180474265495,74.26511357810628,74.26511357810628,-0.3043377492497179,-0.3043377492497179,-0.3043377492497179,-0.3043377492497179,-0.3043377492497179,-0.3043377492497179,0.0,0.0,0.0,73.96077582885657
45,2019-05-14 16:00:00,74.27308029118961,73.32390186305976,75.08097734611502,74.27308029118961,74.27308029118961,-0.11968233972395216,-0.11968233972395216,-0.11968233972395216,-0.11968233972395216,-0.11968233972395216,-0.11968233972395216,0.0,0.0,0.0,74.15339795146566
46,2019-05-14 17:00:00,74.28104700874816,73.5751067683711,75.29322084121797,74.28104700874816,74.28104700874816,0.12890577484133592,0.12890577484133592,0.12890577484133592,0.12890577484133592,0.12890577484133592,0.12890577484133592,0.0,0.0,0.0,74.4099527835895
47,2019-05-14 18:00:00,74.2890137263067,73.68175055181166,75.45438935578223,74.2890137263067,74.2890137263067,0.3307811079434815,0.3307811079434815,0.3307811079434815,0.3307811079434815,0.3307811079434815,0.3307811079434815,0.0,0.0,0.0,74.61979483425019
48,2019-05-14 19:00:00,74.29698044386525,73.85642786676155,75.55579745519506,74.29698044386525,74.29698044386525,0.423903047285717,0.423903047285717,0.423903047285717,0.423903047285717,0.423903047285717,0.423903047285717,0.0,0.0,0.0,74.72088349115097
49,2019-05-14 20:00:00,74.3049471614238,73.89061420870463,75.62197829321222,74.3049471614238,74.3049471614238,0.4372513207953861,0.4372513207953861,0.4372513207953861,0.4372513207953861,0.4372513207953861,0.4372513207953861,0.0,0.0,0.0,74.74219848221918
50,2019-05-14 21:00:00,74.31291387898233,73.91354071835003,75.59401080178517,74.31291387898233,74.31291387898233,0.44374566988936937,0.44374566988936937,0.44374566988936937,0.44374566988936937,0.44374566988936937,0.44374566988936937,0.0,0.0,0.0,74.7566595488717
51,2019-05-14 22:00:00,74.32088059654087,73.97445230960737,75.63294805413707,74.32088059654087,74.32088059654087,0.4765441157312451,0.4765441157312451,0.4765441157312451,0.4765441157312451,0.4765441157312451,0.4765441157312451,0.0,0.0,0.0,74.79742471227212
52,2019-05-14 23:00:00,74.32884731409942,73.9670740845539,75.67365498308419,74.32884731409942,74.32884731409942,0.49549699132055647,0.49549699132055647,0.49549699132055647,0.49549699132055647,0.49549699132055647,0.49549699132055647,0.0,0.0,0.0,74.82434430541997
53,2019-05-15 00:00:00,74.33681403165797,73.92305387169806,75.59455907024277,74.33681403165797,74.33681403165797,0.4362212072945012,0.4362212072945012,0.4362212072945012,0.4362212072945012,0.4362212072945012,0.4362212072945012,0.0,0.0,0.0,74.77303523895246
54,2019-05-15 01:00:00,74.34478074921653,73.77095014768346,75.49795883040251,74.34478074921653,74.34478074921653,0.2881383806436763,0.2881383806436763,0.2881383806436763,0.2881383806436763,0.2881383806436763,0.2881383806436763,0.0,0.0,0.0,74.6329191298602
55,2019-05-15 02:00:00,74.35274747619208,73.61191798088706,75.26164203856658,74.35274747619208,74.35274747619208,0.11773873705605957,0.11773873705605957,0.11773873705605957,0.11773873705605957,0.11773873705605957,0.11773873705605957,0.0,0.0,0.0,74.47048621324814
56,2019-05-15 03:00:00,74.36071420316763,73.5249743977464,75.18773847020258,74.36071420316763,74.36071420316763,0.009791952902089049,0.009791952902089049,0.009791952902089049,0.009791952902089049,0.009791952902089049,0.009791952902089049,0.0,0.0,0.0,74.37050615606972
57,2019-05-15 04:00:00,74.36868093014319,73.5079805313242,75.22892864904699,74.3686809301432,74.3686809301432,-0.01531648596534799,-0.01531648596534799,-0.01531648596534799,-0.01531648596534799,-0.01531648596534799,-0.01531648596534799,0.0,0.0,0.0,74.35336444417784
58,2019-05-15 05:00:00,74.37664765711874,73.43962442617132,75.18498604409267,74.37664765711874,74.37664765711874,-0.022887167572734728,-0.022887167572734728,-0.022887167572734728,-0.022887167572734728,-0.022887167572734728,-0.022887167572734728,0.0,0.0,0.0,74.353760489546
