,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-05-12 19:00:00,72.61584512835844,77.91029690230394,82.38208302957976,72.61584512835844,72.61584512835844,7.517437953594726,7.517437953594726,7.517437953594726,7.517437953594726,7.517437953594726,7.517437953594726,0.0,0.0,0.0,80.13328308195317
1,2019-05-12 20:00:00,72.36778955569737,75.65985048537443,79.99887774910181,72.36778955569737,72.36778955569737,5.390703057626899,5.390703057626899,5.390703057626899,5.390703057626899,5.390703057626899,5.390703057626899,0.0,0.0,0.0,77.75849261332426
2,2019-05-12 21:00:00,72.11973398303631,72.87123991870907,77.36541300992978,72.11973398303631,72.11973398303631,2.9871531796632245,2.9871531796632245,2.9871531796632245,2.9871531796632245,2.9871531796632245,2.9871531796632245,0.0,0.0,0.0,75.10688716269954
3,2019-05-12 22:00:00,71.87167841037522,70.2494191036374,74.54156549900783,71.87167841037522,71.87167841037522,0.5986773596140778,0.5986773596140778,0.5986773596140778,0.5986773596140778,0.5986773596140778,0.5986773596140778,0.0,0.0,0.0,72.4703557699893
4,2019-05-12 23:00:00,71.62362283771415,67.93337351520617,72.264917656043,71.62362283771415,71.62362283771415,-1.5503498531400883,-1.5503498531400883,-1.5503498531400883,-1.5503498531400883,-1.5503498531400883,-1.5503498531400883,0.0,0.0,0.0,70.07327298457406
5,2019-05-13 00:00:00,71.37556726505308,65.9179027528374,70.35773664894755,71.37556726505308,71.37556726505308,-3.2843533565841168,-3.2843533565841168,-3.2843533565841168,-3.2843533565841168,-3.2843533565841168,-3.2843533565841168,0.0,0.0,0.0,68.09121390846896
6,2019-05-13 01:00:00,71.127511692392,64.39119982500414,68.68631472067115,71.127511692392,71.127511692392,-4.5321194710573565,-4.5321194710573565,-4.5321194710573565,-4.5321194710573565,-4.5321194710573565,-4.5321194710573565,0.0,0.0,0.0,66.59539222133465
7,2019-05-13 02:00:00,70.87945611973093,63.2576865550142,67.61930496083691,70.87945611973093,70.87945611973093,-5.417718583150391,-5.417718583150391,-5.417718583150391,-5.417718583150391,-5.417718583150391,-5.417718583150391,0.0,0.0,0.0,65.46173753658054
8,2019-05-13 03:00:00,70.63140054706986,62.19477664795027,66.3908043805711,70.63140054706986,70.63140054706986,-6.238396116834128,-6.238396116834128,-6.238396116834128,-6.238396116834128,-6.238396116834128,-6.238396116834128,0.0,0.0,0.0,64.39300443023573
9,2019-05-13 04:00:00,70.38334497440879,60.9545958948015,65.42508553447011,70.38334497440879,70.38334497440879,-7.250909766945225,-7.250909766945225,-7.250909766945225,-7.250909766945225,-7.250909766945225,-7.250909766945225,0.0,0.0,0.0,63.13243520746356
10,2019-05-13 05:00:00,70.13528938829722,59.46209506817199,63.96731411100041,70.13528938829722,70.13528938829722,-8.392343294710965,-8.392343294710965,-8.392343294710965,-8.392343294710965,-8.392343294710965,-8.392343294710965,0.0,0.0,0.0,61.742946093586255
11,2019-05-13 06:00:00,69.88723380218566,58.46885154720891,62.841910453711066,69.88723380218566,69.88723380218566,-9.190101648073183,-9.190101648073183,-9.190101648073183,-9.190101648073183,-9.190101648073183,-9.190101648073183,0.0,0.0,0.0,60.69713215411248
12,2019-05-13 07:00:00,69.63917821607411,58.380702507489055,62.948611555123605,69.63917821607411,69.63917821607411,-9.005631298439539,-9.005631298439539,-9.005631298439539,-9.005631298439539,-9.005631298439539,-9.005631298439539,0.0,0.0,0.0,60.633546917634575
13,2019-05-13 08:00:00,69.39112262996255,59.759592645792296,64.1137414860179,69.39112262996255,69.39112262996255,-7.474168492980648,-7.474168492980648,-7.474168492980648,-7.474168492980648,-7.474168492980648,-7.474168492980648,0.0,0.0,0.0,61.91695413698191
